Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;LONGITUD;LATITUD;DIRECCION
71;442816,22;4474149,49;41813;03  RETIRO;03-06 NIÑO JESÚS;DOCE DE OCTUBRE, CALLE, DEL;28;BiciMAD;24;-3.674021;40.4160054;DOCE DE OCTUBRE, CALLE, DEL,28
72;443219,95;4474136,22;41813;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;99;BiciMAD;24;-3.6692614;40.4159135;DOCTOR ESQUERDO, CALLE, DEL,99
73;443229,99;4473642,11;41813;03  RETIRO;03-03 ESTRELLA;ASTROS, PLAZA, DE LOS;S/N;BiciMAD;24;-3.669099;40.411463;ASTROS, PLAZA, DE LOS,S/N
74;442595,78;4473679,92;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-3.6765768;40.4117601;MENENDEZ PELAYO, AVENIDA, DE,S/N
75;442436,91;4473301,34;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-3.6784149;40.4083387;MENENDEZ PELAYO, AVENIDA, DE,S/N
76;442712,67;4473182,27;41813;03  RETIRO;03-06 NIÑO JESÚS;JUAN DE URBIETA, CALLE, DE;48;BiciMAD;24;-3.6751544;40.4072851;JUAN DE URBIETA, CALLE, DE,48
77;443083,53;4473073,95;41813;03  RETIRO;03-01 PACÍFICO;CONDE DE CASAL, PLAZA, DEL;8;BiciMAD;24;-3.6707742;40.4063347;CONDE DE CASAL, PLAZA, DEL,8
78;442755,86;4472436,57;41813;03  RETIRO;03-02 ADELFAS;CERRO DE LA PLATA, CALLE, DEL;2;BiciMAD;24;-3.6745783;40.4005704;CERRO DE LA PLATA, CALLE, DEL,2
79;442252,73;4472937,49;41813;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;38;BiciMAD;24;-3.6805524;40.4050482;MENENDEZ PELAYO, AVENIDA, DE,38
080a;441417,53;4473211,23;41813;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-3.6904197;40.4074558;CIUDAD DE BARCELONA, AVENIDA, DE LA,S/N
080b;441394,74;4473233,56;41813;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-3.6906904;40.4076554;CIUDAD DE BARCELONA, AVENIDA, DE LA,S/N
81;441288,14;4473447,57;41813;03  RETIRO;03-05 JERÓNIMOS;PRADO, PASEO, DEL;S/N;BiciMAD;24;-3.6919663;40.4095758;PRADO, PASEO, DEL,S/N
82;443177,93;4473311,29;41813;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;2;BiciMAD;24;-3.669683;40.4084793;LIRA, CALLE, DE LA,2
83;442770,38;4473844,96;41813;03  RETIRO;03-06 NIÑO JESÚS;PIO BAROJA, CALLE, DE;8 B;BiciMAD;24;-3.6745339;40.4132589;PIO BAROJA, CALLE, DE,8 B
84;442918,27;4472746,05;41813;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;191;BiciMAD;27;-3.6726923;40.4033695;DOCTOR ESQUERDO, CALLE, DEL,191
85;442319,29;4474723,43;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-3.6799299;40.4211415;MENENDEZ PELAYO, AVENIDA, DE,S/N
86;441180,29;4474447,71;41904;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;S/N;BiciMAD;21;-3.6933298;40.4185779;PRADO, PASEO, DEL,S/N
87;442016,68;4475450,66;41813;04  SALAMANCA;04-01 RECOLETOS;AYALA, CALLE, DE;44;BiciMAD;24;-3.6835631;40.4276717;AYALA, CALLE, DE,44
88;442004,11;4475843,28;41813;04  SALAMANCA;04-06 CASTELLANA;VELAZQUEZ, CALLE, DE;73;BiciMAD;24;-3.6837471;40.4312077;VELAZQUEZ, CALLE, DE,73
89;442728,15;4475399,8;41813;04  SALAMANCA;04-02 GOYA;AYALA, CALLE, DE;102;BiciMAD;24;-3.6751716;40.4272628;AYALA, CALLE, DE,102
90;442000,33;4475163,96;41813;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;18;BiciMAD;24;-3.6837297;40.4250878;GOYA, CALLE, DE,18
91;442417,66;4475274,35;41813;04  SALAMANCA;04-02 GOYA;HERMOSILLA, CALLE, DE;73;BiciMAD;24;-3.6788203;40.4261113;HERMOSILLA, CALLE, DE,73
92;441767,83;4475291,85;41813;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;45;BiciMAD;24;-3.6864821;40.4262237;CLAUDIO COELLO, CALLE, DE,45
93;441518,8;4475235,48;41813;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;3;BiciMAD;24;-3.6894124;40.4256984;GOYA, CALLE, DE,3
94;441407,18;4474977,73;41813;04  SALAMANCA;04-01 RECOLETOS;RECOLETOS, PASEO, DE;S/N;BiciMAD;24;-3.6907044;40.4233686;RECOLETOS, PASEO, DE,S/N
95;441721,55;4474897;41813;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;19;BiciMAD;24;-3.6869914;40.4226634;CLAUDIO COELLO, CALLE, DE,19
96;442140,46;4474825,84;41813;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;111;BiciMAD;27;-3.6820471;40.4220516;ALCALA, CALLE, DE,111
97;442301,64;4474872,66;41813;04  SALAMANCA;04-02 GOYA;MENENDEZ PELAYO, AVENIDA, DE;1;BiciMAD;24;-3.6801515;40.4224846;MENENDEZ PELAYO, AVENIDA, DE,1
98;442705,5;4475058,99;41813;04  SALAMANCA;04-02 GOYA;FELIPE II, AVENIDA, DE;5;BiciMAD;24;-3.6754079;40.4241911;FELIPE II, AVENIDA, DE,5
99;442829,62;4475270,48;41813;04  SALAMANCA;04-02 GOYA;ALCANTARA, CALLE, DE;2;BiciMAD;24;-3.6739638;40.4261048;ALCANTARA, CALLE, DE,2
100;442835,81;4475123,85;41813;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;99;BiciMAD;24;-3.6738777;40.4247843;GOYA, CALLE, DE,99
101;443212,16;4474936,49;41813;04  SALAMANCA;04-02 GOYA;JORGE JUAN, CALLE, DE;131;BiciMAD;24;-3.6694246;40.4231223;JORGE JUAN, CALLE, DE,131
102;441967,18;4474727,67;41813;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;95;BiciMAD;24;-3.6840806;40.4211552;ALCALA, CALLE, DE,95
103;441766,91;4475752,49;41813;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;4;BiciMAD;24;-3.6865351;40.4303733;JOSE ORTEGA Y GASSET, CALLE, DE,4
104;441505,58;4475354,07;41813;04  SALAMANCA;04-01 RECOLETOS;CASTELLANA, PASEO, DE LA;4;BiciMAD;21;-3.6895792;40.4267658;CASTELLANA, PASEO, DE LA,4
105;441684,37;4475386,27;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;46;BiciMAD;24;-3.6874745;40.4270684;SERRANO, CALLE, DE,46
106;441648,47;4475149,56;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;32;BiciMAD;36;-3.687876;40.4249335;SERRANO, CALLE, DE,32
107;441599,07;4474779,37;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;8;BiciMAD;24;-3.6884243;40.4215952;SERRANO, CALLE, DE,8
108;443111,6;4475416,83;41813;04  SALAMANCA;04-02 GOYA;MARTIRES CONCEPCIONISTAS, CALLE, DE LOS;2;BiciMAD;24;-3.670653;40.4274425;MARTIRES CONCEPCIONISTAS, CALLE, DE LOS,2
